Step,Time,Drone_Position,Current_Target,Distance_Error,Waypoint_Reached,Reward,Info
56,3.6686792373657227,"[0.2406766563653946, 0.3170472979545593, 1.2811810970306396]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.3401833,False,-4.340183258056641,"{'tracking_error': 4.3401833, 'drone_position': [0.2406766563653946, 0.3170472979545593, 1.2811810970306396], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
57,3.730787515640259,"[0.24838706851005554, 0.3277266323566437, 1.2855420112609863]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.335854,False,-4.3358540534973145,"{'tracking_error': 4.335854, 'drone_position': [0.24838706851005554, 0.3277266323566437, 1.2855420112609863], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
58,3.7937700748443604,"[0.2561013698577881, 0.3389394283294678, 1.2897202968597412]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.3317504,False,-4.331750392913818,"{'tracking_error': 4.3317504, 'drone_position': [0.2561013698577881, 0.3389394283294678, 1.2897202968597412], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
59,3.853675127029419,"[0.2636367380619049, 0.3506470024585724, 1.2939893007278442]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.328009,False,-4.328009128570557,"{'tracking_error': 4.328009, 'drone_position': [0.2636367380619049, 0.3506470024585724, 1.2939893007278442], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
60,3.914773941040039,"[0.2710040211677551, 0.36259177327156067, 1.2985631227493286]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.324519,False,-4.324519157409668,"{'tracking_error': 4.324519, 'drone_position': [0.2710040211677551, 0.36259177327156067, 1.2985631227493286], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
61,3.977518081665039,"[0.2783767282962799, 0.3745167851448059, 1.3034260272979736]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.3210382,False,-4.321038246154785,"{'tracking_error': 4.3210382, 'drone_position': [0.2783767282962799, 0.3745167851448059, 1.3034260272979736], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
62,4.086197137832642,"[0.28592488169670105, 0.38631969690322876, 1.3084156513214111]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.317387,False,-4.317387104034424,"{'tracking_error': 4.317387, 'drone_position': [0.28592488169670105, 0.38631969690322876, 1.3084156513214111], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
63,4.14800238609314,"[0.2937527894973755, 0.3980257511138916, 1.3133580684661865]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.3134947,False,-4.313494682312012,"{'tracking_error': 4.3134947, 'drone_position': [0.2937527894973755, 0.3980257511138916, 1.3133580684661865], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
64,4.211198806762695,"[0.30190765857696533, 0.4097450077533722, 1.318105697631836]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.309366,False,-4.309366226196289,"{'tracking_error': 4.309366, 'drone_position': [0.30190765857696533, 0.4097450077533722, 1.318105697631836], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
65,4.273390531539917,"[0.3103611171245575, 0.42166438698768616, 1.3225553035736084]","[4.335804462432861, -1.051645278930664, 1.7214096784591675]",4.305104,False,-4.305103778839111,"{'tracking_error': 4.305104, 'drone_position': [0.3103611171245575, 0.42166438698768616, 1.3225553035736084], 'current_target': [4.335804462432861, -1.051645278930664, 1.7214096784591675], 'disturbance': [0, 0, 0, 0], 'waypoint_reached': False}"
